Ticker,Weights
META,0.2792
AVGO,0.1344
LYG,0.0088
VZ,0.0368
DHL.DE,0.0102
VOW3.DE,0.0147
WMT,0.1092
VICI,0.0067
DINO,0.0813
GGG,0.1131
EHC,0.0556
FIHL,0.0278
THO,0.0738
VAC,0.0426
AVNW,0.0058

