Date,Open,High,Low,Close,Adj Close,Volume
2001-12-01,41.590000,45.000000,40.750000,44.990002,11.502568,2104200
2002-01-01,43.250000,44.099998,41.500000,43.450001,11.108842,1907600
2002-02-01,42.750000,45.349998,39.099998,39.160000,10.012018,1197500
2002-03-01,40.900002,43.099998,40.500000,41.500000,10.986386,643600
2002-04-01,41.650002,46.509998,40.849998,46.360001,12.272983,550700
2002-05-01,46.150002,48.849998,43.230000,44.000000,11.648217,528900
2002-06-01,44.099998,44.150002,37.980000,40.049999,10.602528,1343200
2002-07-01,40.250000,41.860001,33.200001,40.950001,10.840787,1323600
2002-08-01,38.639999,38.959999,33.900002,35.650002,9.437703,1396700
2002-09-01,34.599998,35.700001,28.450001,30.250000,8.160265,1448900
2002-10-01,30.900000,37.299999,30.350000,34.700001,9.360703,1618400
2002-11-01,34.000000,37.810001,31.799999,34.450001,9.293264,2010600
2002-12-01,35.619999,35.700001,27.420000,28.590000,7.712463,2180900
2003-01-01,29.520000,29.980000,24.389999,26.350000,7.108199,2998500
2003-02-01,27.100000,28.400000,21.250000,22.400000,6.042644,3157400
2003-03-01,22.930000,23.670000,19.200001,20.799999,6.020603,3308700
2003-04-01,21.040001,27.590000,20.680000,26.639999,7.711002,2398600
2003-05-01,26.320000,30.889999,26.080000,30.010000,8.686456,1972800
2003-06-01,30.719999,32.750000,28.629999,29.010000,8.397000,2086500
2003-07-01,28.549999,31.600000,28.200001,31.160000,9.019325,1677500
2003-08-01,30.150000,30.150000,26.290001,26.430000,7.650217,1655300
2003-09-01,26.379999,29.020000,26.100000,27.650000,8.205138,1496900
2003-10-01,28.450001,30.100000,27.969999,28.219999,8.374287,1837900
2003-11-01,28.150000,28.850000,27.020000,28.690001,8.513758,1415800
2003-12-01,29.000000,32.700001,28.350000,32.549999,9.659212,1713300
2004-01-01,33.000000,35.650002,32.750000,34.070000,10.110272,1723600
2004-02-01,33.959999,36.700001,33.360001,34.130001,10.128080,1518800
2004-03-01,33.900002,34.250000,30.000000,31.090000,9.225957,3144800
2004-04-01,31.170000,31.680000,29.690001,30.580000,9.595442,2082700
2004-05-01,30.610001,32.430000,29.430000,32.000000,10.041013,1715000
2004-06-01,31.889999,33.500000,31.540001,31.879999,10.003360,3037800
2004-07-01,31.690001,31.790001,29.400000,30.280001,9.501310,2521900
2004-08-01,30.450001,31.770000,29.430000,30.459999,9.557789,2802300
2004-09-01,30.590000,31.680000,30.520000,31.480000,10.135364,2042900
2004-10-01,31.520000,32.750000,31.230000,31.930000,10.280247,3387900
2004-11-01,32.200001,32.830002,31.290001,32.529999,10.473420,3841200
2004-12-01,32.990002,37.029999,32.779999,36.790001,11.844981,4220000
2005-01-01,37.060001,38.029999,34.709999,37.770000,12.160501,4685800
2005-02-01,37.619999,39.000000,37.250000,38.099998,12.266750,2807900
2005-03-01,37.900002,39.509998,35.430000,36.270000,11.677559,3602500
