Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,10.640000,13.126000,10.280000,12.790000,12.790000,19953500
2019-05-01,12.830000,13.390000,10.000000,10.190000,10.190000,17240500
2019-06-01,10.160000,14.440000,10.160000,14.100000,14.100000,12399500
2019-07-01,14.270000,17.350000,13.740000,16.590000,16.590000,15316100
2019-08-01,16.730000,19.080000,15.400000,16.320000,16.320000,17847800
2019-09-01,16.299999,18.719999,15.520000,17.510000,17.510000,14540600
2019-10-01,17.450001,18.281000,16.340000,16.799999,16.799999,9264000
2019-11-01,16.879999,19.959999,16.080000,16.570000,16.570000,14558100
2019-12-01,16.600000,16.660000,14.570000,16.129999,16.129999,16486800
2020-01-01,16.230000,16.240000,14.200000,15.680000,15.680000,13772200
2020-02-01,15.720000,20.000000,15.514000,15.960000,15.960000,21783800
2020-03-01,16.100000,17.000000,7.580000,9.840000,9.840000,25371900
2020-04-01,9.640000,13.250000,8.020000,13.070000,13.070000,20676100
2020-05-01,12.640000,17.629999,12.100000,17.139999,17.139999,17848500
2020-06-01,17.379999,19.100000,16.209999,19.070000,19.070000,16766800
2020-07-01,19.059999,20.950001,17.370001,17.860001,17.860001,19845300
2020-08-01,17.850000,21.020000,17.840000,19.530001,19.530001,14213400
2020-09-01,19.760000,20.110001,17.320000,18.370001,18.370001,14965500
2020-10-01,18.440001,22.139999,18.299999,20.270000,20.270000,16348500
2020-11-01,20.290001,22.459999,18.545000,21.740000,21.740000,15691300
2020-12-01,22.000000,26.190001,21.000000,25.190001,25.190001,14094100
2021-01-01,25.309999,25.850000,21.400000,21.760000,21.760000,25951700
2021-02-01,21.740000,26.469999,21.150000,25.650000,25.650000,17021700
2021-03-01,26.320000,29.240000,24.202000,26.830000,26.830000,16127600
2021-04-01,26.799999,31.290001,26.420000,30.250000,30.250000,10456100
2021-05-01,30.240000,30.639999,27.360001,28.000000,28.000000,10374100
2021-06-01,28.129999,28.770000,26.809999,27.139999,27.139999,9838000
2021-07-01,27.309999,27.850000,24.580000,27.610001,27.610001,8295700
2021-08-01,27.730000,31.230000,27.535000,30.950001,30.950001,9613900
2021-09-01,31.049999,31.670000,28.450001,29.049999,29.049999,12231700
2021-10-01,29.270000,32.639999,28.590000,32.310001,32.310001,7047100
2021-11-01,32.520000,33.380001,29.570000,30.120001,30.120001,10091300
2021-12-01,30.750000,33.299999,29.250000,33.209999,33.209999,9691600
2022-01-01,33.259998,33.630001,26.145000,29.559999,29.559999,9026700
2022-02-01,29.440001,30.650000,24.879999,26.430000,26.430000,10400900
2022-03-01,26.209999,26.540001,22.215000,25.830000,25.830000,10262400
2022-04-01,26.129999,26.660000,22.780001,24.330000,24.330000,7244300
2022-05-01,24.400000,26.920000,20.490000,26.620001,26.620001,12517800
2022-06-01,26.610001,31.190001,24.620001,30.680000,30.680000,13330800
2022-07-01,30.370001,34.630001,29.340000,33.529999,33.529999,11464600
2022-08-01,33.560001,38.910000,32.939999,38.130001,38.130001,16345300
2022-09-01,37.950001,41.310001,36.770000,37.619999,37.619999,12918500
2022-10-01,38.009998,44.070000,37.305000,43.259998,43.259998,13425900
2022-11-01,43.549999,56.924999,41.520000,54.959999,54.959999,16536100
2022-12-01,54.880001,56.786999,52.340000,55.299999,55.299999,11343300
2023-01-01,56.169998,58.759998,48.099998,57.549999,57.549999,19157400
2023-02-01,57.389999,75.769997,56.500000,74.750000,74.750000,17550000
2023-03-01,75.070000,83.940002,67.589996,82.349998,82.349998,23584200
2023-04-01,81.839996,97.029999,78.889999,92.760002,92.760002,16596800
2023-05-01,93.199997,107.150002,83.800003,104.019997,104.019997,25063900
2023-06-01,104.709999,115.790001,100.239998,114.230003,114.230003,22519500
2023-07-01,114.760002,120.610001,108.010002,116.720001,116.720001,17782600
2023-08-01,116.000000,139.850006,114.297997,138.710007,138.710007,29774700
2023-09-01,139.100006,139.669998,100.500000,109.830002,109.830002,28473400
2023-10-01,110.349998,112.470001,88.470001,92.629997,92.629997,29759000
2023-11-01,91.480003,121.750000,89.502998,118.089996,118.089996,38100600
2023-12-01,119.989998,153.529999,119.099998,144.339996,144.339996,22239300
2024-01-01,141.589996,164.710007,131.500000,159.529999,159.529999,35416300
2024-02-01,161.500000,209.970001,158.934998,208.529999,208.529999,29605400
2024-03-01,210.000000,221.830002,187.130005,190.669998,190.669998,17727500
