Date,Open,High,Low,Close,Adj Close,Volume
2015-06-01,2.720000,4.213000,2.551000,3.395000,3.395000,131118000
2015-07-01,3.403000,4.025000,2.850000,3.739000,3.739000,89926000
2015-08-01,3.749000,4.111000,2.270000,2.754000,2.754000,65836000
2015-09-01,2.729000,3.795000,2.555000,3.520000,3.520000,72092000
2015-10-01,3.537000,3.929000,2.972000,3.222000,3.222000,62476000
2015-11-01,3.236000,3.393000,2.553000,2.634000,2.634000,153446000
2015-12-01,2.618000,2.740000,2.406000,2.580000,2.580000,84762000
2016-01-01,2.542000,2.650000,1.848000,2.322000,2.322000,96669000
2016-02-01,2.326000,2.481000,1.858000,2.238000,2.238000,179485000
2016-03-01,2.267000,2.878000,2.201000,2.821000,2.821000,156268000
2016-04-01,2.788000,3.239000,2.756500,3.185000,3.185000,99431000
2016-05-01,3.188000,3.188000,2.496000,2.929000,2.929000,152583000
2016-06-01,3.015000,3.151000,2.635000,3.076000,3.076000,166401000
2016-07-01,3.075000,3.476000,3.000000,3.427000,3.427000,177777000
2016-08-01,3.442000,4.362000,3.285000,4.136000,4.136000,338808000
2016-09-01,4.120000,4.520000,3.978000,4.292000,4.292000,175380000
2016-10-01,4.324000,4.500000,4.015000,4.145000,4.145000,107311000
2016-11-01,4.131000,4.545000,3.774000,4.167000,4.167000,221189000
2016-12-01,4.181000,4.424000,3.869000,4.287000,4.287000,141696000
2017-01-01,4.328000,5.200000,4.213500,5.082000,5.082000,240575000
2017-02-01,5.164000,6.436000,5.062000,5.921000,5.921000,288087000
2017-03-01,6.017000,7.300000,5.862700,6.809000,6.809000,328850000
2017-04-01,6.816000,7.819000,6.722000,7.595000,7.595000,246022000
2017-05-01,7.570000,9.588000,7.482000,9.186000,9.186000,615083000
2017-06-01,9.249000,10.080000,8.155000,8.690000,8.690000,519883000
2017-07-01,8.715000,9.680000,8.480000,9.237000,9.237000,286923000
2017-08-01,10.392000,11.157000,8.821000,11.092000,11.092000,485654000
2017-09-01,11.181000,12.394000,10.803000,11.649000,11.649000,264063000
2017-10-01,11.700000,12.069000,8.935000,9.949000,9.949000,1198317000
2017-11-01,9.974000,11.707000,9.500000,10.382000,10.382000,381076000
2017-12-01,10.390000,10.804000,9.241000,10.100000,10.100000,223189000
2018-01-01,10.159000,13.047000,10.102000,12.792000,12.792000,239219000
2018-02-01,12.703000,14.612000,11.206000,13.821000,13.821000,476349000
2018-03-01,13.700000,15.482000,11.857000,12.459000,12.459000,385229000
2018-04-01,12.471000,13.443000,11.250000,13.363000,13.363000,403692000
2018-05-01,12.508000,15.097000,11.881000,14.809000,14.809000,388510000
2018-06-01,14.950000,17.511000,14.040000,14.589000,14.589000,317475000
2018-07-01,14.271000,17.659901,13.326100,13.821000,13.821000,313069000
2018-08-01,13.868000,15.118000,13.234000,14.567000,14.567000,300366000
2018-09-01,14.610000,16.895000,13.060000,16.445999,16.445999,269900000
2018-10-01,16.643999,16.686001,12.205000,13.815000,13.815000,471891000
2018-11-01,13.877000,15.289000,12.200000,15.266000,15.266000,303594000
2018-12-01,15.656000,16.413000,11.764000,13.845000,13.845000,417055000
2019-01-01,13.400000,16.959999,12.948000,16.847000,16.847000,246804000
2019-02-01,16.836000,19.113001,16.063000,18.915001,18.915001,300772000
2019-03-01,19.084999,20.959000,18.100000,20.662001,20.662001,280654000
2019-04-01,20.843000,24.750000,19.038000,24.353001,24.353001,396625000
2019-05-01,24.285000,28.596001,23.739000,27.490000,27.490000,445621000
2019-06-01,27.427999,33.894001,26.216999,30.014999,30.014999,393012000
2019-07-01,30.860001,34.083599,30.033001,31.788000,31.788000,377178000
2019-08-01,33.401001,40.960999,31.339001,38.539001,38.539001,492425000
2019-09-01,38.400002,39.575001,28.607000,31.166000,31.166000,620265000
2019-10-01,31.166000,34.944000,29.106001,31.357000,31.357000,550029000
2019-11-01,31.625000,34.400002,28.208000,33.674999,33.674999,368112000
2019-12-01,33.599998,41.660000,31.153200,39.757999,39.757999,520875000
2020-01-01,40.398998,48.286999,39.542000,46.566002,46.566002,376433000
2020-02-01,46.825001,59.389000,42.049999,46.331001,46.331001,547234000
2020-03-01,48.320000,51.400002,30.530001,41.693001,41.693001,702948000
2020-04-01,40.299000,66.573997,33.455002,63.229000,63.229000,870616000
2020-05-01,61.500000,84.400002,59.502998,75.779999,75.779999,831037000
2020-06-01,75.472000,95.875999,70.202003,94.919998,94.919998,554784000
2020-07-01,94.801003,110.792000,88.318001,102.400002,102.400002,670953000
2020-08-01,103.199997,111.598999,96.473999,106.641998,106.641998,348649000
2020-09-01,107.500000,114.691002,83.940002,102.296997,102.296997,488876000
2020-10-01,103.063004,113.000000,90.622002,92.542999,92.542999,311212000
2020-11-01,93.457001,109.470001,87.500000,109.038002,109.038002,316236000
2020-12-01,108.038002,128.518494,101.699997,113.195000,113.195000,309581000
2021-01-01,113.799004,124.745003,107.605003,109.859001,109.859001,201363000
2021-02-01,110.599998,149.975006,109.968002,128.097000,128.097000,308102000
2021-03-01,131.500000,133.000000,100.514000,110.650002,110.650002,354918000
2021-04-01,115.000000,130.160995,108.725998,118.250999,118.250999,258271000
2021-05-01,118.672997,128.098999,102.507500,124.287003,124.287003,299450000
2021-06-01,125.417000,155.223007,118.250000,146.098007,146.098007,318992000
2021-07-01,146.098007,165.000000,139.300995,149.992996,149.992996,297735000
2021-08-01,150.382996,158.337006,143.750000,152.477997,152.477997,201685000
2021-09-01,152.764999,158.800003,134.113998,135.578003,135.578003,166559000
2021-10-01,136.246002,150.671997,128.589996,146.673004,146.673004,217684000
